year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2008,Toyota,Avalon,Limited,Sedan,automatic,4t1bk36b38u314478,va,38.0,85999.0,beige,beige,shirlie slack mitsubishi,10350.0,11900.0,Thu Dec 18 2014 09:35:00 GMT-0800 (PST)
2008,Subaru,Impreza,WRX,Sedan,manual,jf1ge74668g513057,ga,,85045.0,black,black,young motors llc,10200.0,11200.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2008,Saturn,VUE,XE,SUV,automatic,3gscl33p78s618939,mi,2.0,95961.0,silver,gray,remarketing by ge/zeal credit union,5200.0,4000.0,Thu Jan 08 2015 09:30:00 GMT-0800 (PST)
2008,Toyota,Camry,XLE,Sedan,automatic,4t1be46k98u783734,fl,,154780.0,gray,tan,kuhn honda,6050.0,5800.0,Thu Dec 18 2014 16:10:00 GMT-0800 (PST)
2008,Subaru,Impreza,2.5i,Hatchback,automatic,jf1gh61618h807983,co,35.0,100955.0,silver,black,gm financial,6400.0,5100.0,Tue Dec 23 2014 11:45:00 GMT-0800 (PST)
2008,Toyota,Camry,LE,Sedan,automatic,4t1be46k88u785698,fl,,101740.0,white,gray,sell your car here,7400.0,4800.0,Thu Dec 18 2014 09:40:00 GMT-0800 (PST)
2008,Toyota,Camry,SE,Sedan,automatic,4t1be46k58u250246,nj,19.0,125636.0,silver,gray,santander consumer,7275.0,3900.0,Wed Dec 31 2014 09:30:00 GMT-0800 (PST)
2008,Toyota,Avalon,Limited,Sedan,,4t1bk36b58u257698,va,,105597.0,white,—,safford kia of fredericksburg,9275.0,8200.0,Thu Dec 18 2014 09:05:00 GMT-0800 (PST)
2008,Suzuki,XL7,Limited,SUV,automatic,2s3db717986103910,tx,26.0,128607.0,black,gray,caprock auto remarketing,3750.0,4100.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2008,Subaru,Outback,2.5I Limited,Wagon,automatic,4s4bp62cx87328667,co,,120671.0,gold,—,little cypress motor co,7925.0,7500.0,Wed Dec 17 2014 11:45:00 GMT-0800 (PST)
2008,Toyota,Avalon,Limited,Sedan,automatic,4t1bk36b88u279727,va,37.0,147388.0,black,gray,shirlie slack mitsubishi,7000.0,8300.0,Thu Dec 18 2014 09:35:00 GMT-0800 (PST)
2008,smart,fortwo,passion,Hatchback,,wmeej31x38k188711,fl,,35758.0,silver,—,diaz and sons auto sales inc,4950.0,5400.0,Wed Dec 17 2014 09:30:00 GMT-0800 (PST)
2008,Saturn,Sky,Red Line,Convertible,automatic,1g8mf35x58y124537,tx,39.0,53290.0,black,black,music city autoplex llc,9300.0,10100.0,Wed Dec 31 2014 10:20:00 GMT-0800 (PST)
2008,Suzuki,SX4,Sport,Sedan,automatic,js2yc415x85106794,pr,19.0,84569.0,blue,black,scotiabank de puerto rico,3375.0,2700.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST)
2008,Toyota,Camry,LE V6,Sedan,automatic,4t1bk46k98u072382,tx,,136974.0,red,gray,rudolph honda,6350.0,7500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2008,Scion,xB,Base,Wagon,automatic,jtlke50e981045743,nv,,77470.0,blue,—,frontline auto remarketing llc,6800.0,6500.0,Fri Dec 19 2014 12:00:00 GMT-0800 (PST)
2008,Toyota,Camry,LE,Sedan,automatic,4t1be46k98u206802,ny,,139277.0,blue,gray,the lot of saratoga llc,6450.0,5500.0,Thu Dec 18 2014 09:30:00 GMT-0800 (PST)
2008,Scion,tC,Base,Hatchback,,jtkde167980245932,il,,107058.0,purple,—,primo motor cars,5725.0,7100.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
2008,Saturn,VUE,XE,SUV,automatic,3gscl33p88s646944,fl,2.0,161759.0,gold,beige,d&a fine cars,3250.0,3400.0,Fri Dec 19 2014 09:25:00 GMT-0800 (PST)
2008,Suzuki,Forenza,Base,Sedan,automatic,kl5jd56z38k947356,nc,36.0,82062.0,white,gray,santander consumer,2300.0,2300.0,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
2008,Toyota,Camry,LE V6,Sedan,automatic,4t1bk46k78u566207,fl,,123194.0,white,black,palm beach exotics inc,7750.0,7400.0,Thu Dec 18 2014 10:50:00 GMT-0800 (PST)
2008,Saturn,Outlook,XE,SUV,automatic,5gzer137x8j182160,nc,25.0,130254.0,silver,black,myrddin fleet services,6750.0,4900.0,Tue Dec 23 2014 09:15:00 GMT-0800 (PST)
2008,Saturn,Sky,Red Line,Convertible,automatic,1g8mf35x68y113692,tx,28.0,106505.0,silver,red,san antonio dodge chrysler jeep,5925.0,7000.0,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
2008,smart,fortwo,passion cabrio,Convertible,,wmeek31x98k148940,pa,39.0,84615.0,red,tan,remarketing by ge/suntrust bank,3900.0,3400.0,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
2008,Subaru,Outback,2.5I Limited,Wagon,automatic,4s4bp62c987316669,ca,41.0,118458.0,gray,black,premium auto wholesale,8375.0,8700.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
2008,Suzuki,Reno,Base,Hatchback,automatic,kl5jd66z78k833480,ny,,77419.0,black,—,danbury auto group inc,2800.0,2300.0,Wed Dec 17 2014 09:00:00 GMT-0800 (PST)
2008,Scion,tC,Base,Hatchback,automatic,jtkde167880265623,mn,21.0,85177.0,silver,black,santander consumer,5775.0,2900.0,Thu Jan 08 2015 10:45:00 GMT-0800 (PST)
2008,Toyota,Camry,XLE,Sedan,automatic,4t1be46k88u209013,nc,2.0,165924.0,blue,beige,national remarketing services/secu,5950.0,4800.0,Tue Dec 23 2014 09:15:00 GMT-0800 (PST)
2008,Suzuki,SX4,Sport,Sedan,automatic,js2yc415685105691,fl,19.0,125657.0,black,black,santander consumer,2575.0,2500.0,Thu Dec 18 2014 09:50:00 GMT-0800 (PST)
